Real-time data - subject to revision
Copyright Environment Canada(2026)

"Real-Time Hydrometric Data for SAN JUAN RIVER NEAR PORT RENFREW (08HA010) [BC]"

08HA010,"SAN JUAN RIVER NEAR PORT RENFREW"
Description of parameters:
6,"Discharge (daily mean values)",m³/s

Date (PST),Parameter ,Value (m³/s)
2025-02-01 00:00:00,6,31.6
2025-02-02 00:00:00,6,22.1
2025-02-03 00:00:00,6,18.4
2025-02-04 00:00:00,6,16.1
2025-02-05 00:00:00,6,14.6
2025-02-06 00:00:00,6,13.6
2025-02-07 00:00:00,6,12.7
2025-02-08 00:00:00,6,12.3
2025-02-09 00:00:00,6,11.8
2025-02-10 00:00:00,6,11.3
2025-02-11 00:00:00,6,10.3
2025-02-12 00:00:00,6,10.0
2025-02-13 00:00:00,6,10.2
2025-02-14 00:00:00,6,9.86
2025-02-15 00:00:00,6,9.79
2025-02-16 00:00:00,6,13.6
2025-02-17 00:00:00,6,19.3
2025-02-18 00:00:00,6,22.0
2025-02-19 00:00:00,6,78.0
2025-02-20 00:00:00,6,117
2025-02-21 00:00:00,6,79.6
2025-02-22 00:00:00,6,230
2025-02-23 00:00:00,6,205
2025-02-24 00:00:00,6,169
2025-02-25 00:00:00,6,174
2025-02-26 00:00:00,6,109
2025-02-27 00:00:00,6,74.0
2025-02-28 00:00:00,6,60.6
2025-03-01 00:00:00,6,50.7
2025-03-02 00:00:00,6,43.5
2025-03-03 00:00:00,6,38.5
2025-03-04 00:00:00,6,36.5
2025-03-05 00:00:00,6,54.4
2025-03-06 00:00:00,6,48.8
2025-03-07 00:00:00,6,41.0
2025-03-08 00:00:00,6,170
2025-03-09 00:00:00,6,345
2025-03-10 00:00:00,6,140
2025-03-11 00:00:00,6,92.0
2025-03-12 00:00:00,6,94.3
2025-03-13 00:00:00,6,82.3
2025-03-14 00:00:00,6,66.7
2025-03-15 00:00:00,6,61.4
2025-03-16 00:00:00,6,68.5
2025-03-17 00:00:00,6,68.5
2025-03-18 00:00:00,6,57.7
2025-03-19 00:00:00,6,51.8
2025-03-20 00:00:00,6,91.6
2025-03-21 00:00:00,6,162
2025-03-22 00:00:00,6,115
2025-03-23 00:00:00,6,238
2025-03-24 00:00:00,6,285
2025-03-25 00:00:00,6,195
2025-03-26 00:00:00,6,121
2025-03-27 00:00:00,6,127
2025-03-28 00:00:00,6,99.4
2025-03-29 00:00:00,6,111
2025-03-30 00:00:00,6,82.5
2025-03-31 00:00:00,6,65.5
2025-04-01 00:00:00,6,54.9
2025-04-02 00:00:00,6,47.0
2025-04-03 00:00:00,6,40.5
2025-04-04 00:00:00,6,35.5
2025-04-05 00:00:00,6,32.0
2025-04-06 00:00:00,6,33.9
2025-04-07 00:00:00,6,49.2
2025-04-08 00:00:00,6,68.9
