"Plot Title: 21658049"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21658049, SEN S/N: 21658049)","Temp, °F (LGR S/N: 21658049, SEN S/N: 21658049)","Coupler Attached (LGR S/N: 21658049)","Host Connected (LGR S/N: 21658049)","Coupler Detached (LGR S/N: 21658049)","End Of File (LGR S/N: 21658049)"
1,04/14/23 09:00:00 AM,9.68,64.94,,,,
2,04/14/23 09:05:00 AM,9.68,64.90,,,,
3,04/14/23 09:10:00 AM,9.69,64.87,,,,
4,04/14/23 09:15:00 AM,9.69,64.83,,,,
5,04/14/23 09:20:00 AM,9.69,64.80,,,,
6,04/14/23 09:25:00 AM,9.70,64.76,,,,
7,04/14/23 09:30:00 AM,9.71,64.72,,,,
8,04/14/23 09:35:00 AM,9.70,64.72,,,,
9,04/14/23 09:40:00 AM,9.71,64.69,,,,
10,04/14/23 09:45:00 AM,9.71,64.65,,,,
11,04/14/23 09:50:00 AM,9.72,64.62,,,,
12,04/14/23 09:55:00 AM,9.71,64.58,,,,
13,04/14/23 10:00:00 AM,9.71,64.58,,,,
14,04/14/23 10:05:00 AM,9.72,64.54,,,,
15,04/14/23 10:10:00 AM,9.72,64.51,,,,
16,04/14/23 10:15:00 AM,9.72,64.51,,,,
17,04/14/23 10:20:00 AM,9.72,64.47,,,,
18,04/14/23 10:25:00 AM,9.72,64.47,,,,
19,04/14/23 10:30:00 AM,9.73,64.47,,,,
20,04/14/23 10:35:00 AM,9.72,64.44,,,,
21,04/14/23 10:40:00 AM,9.73,64.44,,,,
22,04/14/23 10:45:00 AM,9.73,64.44,,,,
23,04/14/23 10:50:00 AM,9.73,64.40,,,,
24,04/14/23 10:55:00 AM,9.73,64.40,,,,
25,04/14/23 11:00:00 AM,9.73,64.40,,,,
26,04/14/23 11:05:00 AM,9.72,64.40,,,,
27,04/14/23 11:10:00 AM,9.73,64.40,,,,
28,04/14/23 11:15:00 AM,9.74,64.40,,,,
29,04/14/23 11:20:00 AM,9.73,64.40,,,,
30,04/14/23 11:25:00 AM,9.73,64.40,,,,
31,04/14/23 11:30:00 AM,9.73,64.40,,,,
32,04/14/23 11:35:00 AM,9.73,64.44,,,,
33,04/14/23 11:40:00 AM,9.73,64.44,,,,
34,04/14/23 11:45:00 AM,9.72,64.44,,,,
35,04/14/23 11:50:00 AM,9.72,64.47,,,,
36,04/14/23 11:55:00 AM,9.72,64.47,,,,
37,04/14/23 12:00:00 PM,9.72,64.51,,,,
38,04/14/23 12:05:00 PM,9.71,64.51,,,,
39,04/14/23 12:10:00 PM,9.71,64.54,,,,
40,04/14/23 12:15:00 PM,9.71,64.58,,,,
41,04/14/23 12:20:00 PM,9.71,64.62,,,,
42,04/14/23 12:25:00 PM,9.71,64.65,,,,
43,04/14/23 12:30:00 PM,9.70,64.69,,,,
44,04/14/23 12:35:00 PM,9.69,64.72,,,,
45,04/14/23 12:40:00 PM,9.68,64.80,,,,
46,04/14/23 12:45:00 PM,9.69,64.83,,,,
47,04/14/23 12:50:00 PM,9.68,64.90,,,,
48,04/14/23 12:55:00 PM,9.65,64.94,,,,
49,04/14/23 01:00:00 PM,9.65,65.01,,,,
50,04/14/23 01:05:00 PM,9.64,65.08,,,,
51,04/14/23 01:10:00 PM,9.63,65.16,,,,
52,04/14/23 01:15:00 PM,9.63,65.23,,,,
53,04/14/23 01:20:00 PM,9.62,65.30,,,,
54,04/14/23 01:25:00 PM,9.61,65.37,,,,
55,04/14/23 01:30:00 PM,9.60,65.48,,,,
56,04/14/23 01:35:00 PM,9.60,65.55,,,,
57,04/14/23 01:40:00 PM,9.58,65.66,,,,
58,04/14/23 01:45:00 PM,9.57,65.73,,,,
59,04/14/23 01:50:00 PM,9.57,65.84,,,,
60,04/14/23 01:55:00 PM,9.56,65.91,,,,
61,04/14/23 02:00:00 PM,9.55,66.02,,,,
62,04/14/23 02:05:00 PM,9.53,66.13,,,,
63,04/14/23 02:10:00 PM,9.53,66.24,,,,
64,04/14/23 02:15:00 PM,9.50,66.34,,,,
65,04/14/23 02:20:00 PM,9.49,66.45,,,,
66,04/14/23 02:25:00 PM,9.48,66.56,,,,
67,04/14/23 02:30:00 PM,9.47,66.67,,,,
68,04/14/23 02:35:00 PM,9.46,66.78,,,,
69,04/14/23 02:40:00 PM,9.45,66.88,,,,
70,04/14/23 02:45:00 PM,9.44,66.99,,,,
71,04/14/23 02:50:00 PM,9.42,67.10,,,,
72,04/14/23 02:55:00 PM,9.42,67.24,,,,
73,04/14/23 03:00:00 PM,9.41,67.35,,,,
74,04/14/23 03:05:00 PM,9.40,67.46,,,,
75,04/14/23 03:10:00 PM,9.38,67.57,,,,
76,04/14/23 03:15:00 PM,9.36,67.71,,,,
77,04/14/23 03:20:00 PM,9.35,67.82,,,,
78,04/14/23 03:25:00 PM,9.34,67.93,,,,
79,04/14/23 03:30:00 PM,9.33,68.04,,,,
80,04/14/23 03:35:00 PM,9.32,68.14,,,,
81,04/14/23 03:40:00 PM,9.31,68.25,,,,
82,04/14/23 03:45:00 PM,9.30,68.36,,,,
83,04/14/23 03:50:00 PM,9.29,68.47,,,,
84,04/14/23 03:55:00 PM,9.28,68.58,,,,
85,04/14/23 04:00:00 PM,9.27,68.68,,,,
86,04/14/23 04:05:00 PM,9.25,68.79,,,,
87,04/14/23 04:10:00 PM,9.24,68.90,,,,
88,04/14/23 04:15:00 PM,9.24,69.01,,,,
89,04/14/23 04:20:00 PM,9.23,69.08,,,,
90,04/14/23 04:25:00 PM,9.21,69.19,,,,
91,04/14/23 04:30:00 PM,9.19,69.30,,,,
92,04/14/23 04:35:00 PM,9.18,69.40,,,,
93,04/14/23 04:40:00 PM,9.18,69.48,,,,
94,04/14/23 04:45:00 PM,9.17,69.58,,,,
95,04/14/23 04:50:00 PM,9.16,69.66,,,,
96,04/14/23 04:55:00 PM,9.15,69.73,,,,
97,04/14/23 05:00:00 PM,9.14,69.80,,,,
98,04/14/23 05:05:00 PM,9.14,69.91,,,,
99,04/14/23 05:10:00 PM,9.13,69.98,,,,
100,04/14/23 05:15:00 PM,9.12,70.05,,,,
101,04/14/23 05:20:00 PM,9.12,70.12,,,,
102,04/14/23 05:25:00 PM,9.12,70.20,,,,
103,04/14/23 05:30:00 PM,9.10,70.27,,,,
104,04/14/23 05:35:00 PM,9.10,70.30,,,,
105,04/14/23 05:40:00 PM,9.09,70.38,,,,
106,04/14/23 05:45:00 PM,9.09,70.45,,,,
107,04/14/23 05:50:00 PM,9.08,70.52,,,,
108,04/14/23 05:55:00 PM,9.08,70.56,,,,
109,04/14/23 06:00:00 PM,9.06,70.63,,,,
110,04/14/23 06:05:00 PM,9.06,70.66,,,,
111,04/14/23 06:10:00 PM,9.06,70.70,,,,
112,04/14/23 06:15:00 PM,9.05,70.77,,,,
113,04/14/23 06:20:00 PM,9.05,70.81,,,,
114,04/14/23 06:25:00 PM,9.04,70.84,,,,
115,04/14/23 06:30:00 PM,9.04,70.88,,,,
116,04/14/23 06:35:00 PM,9.04,70.92,,,,
117,04/14/23 06:40:00 PM,9.03,70.92,,,,
118,04/14/23 06:45:00 PM,9.03,70.95,,,,
119,04/14/23 06:50:00 PM,9.03,70.99,,,,
120,04/14/23 06:55:00 PM,9.03,70.99,,,,
121,04/14/23 07:00:00 PM,9.03,71.02,,,,
122,04/14/23 07:05:00 PM,9.02,71.02,,,,
123,04/14/23 07:10:00 PM,9.03,71.06,,,,
124,04/14/23 07:15:00 PM,9.03,71.06,,,,
125,04/14/23 07:20:00 PM,9.02,71.06,,,,
126,04/14/23 07:25:00 PM,9.02,71.06,,,,
127,04/14/23 07:30:00 PM,9.02,71.06,,,,
128,04/14/23 07:35:00 PM,9.02,71.06,,,,
129,04/14/23 07:40:00 PM,9.03,71.06,,,,
130,04/14/23 07:45:00 PM,9.03,71.06,,,,
131,04/14/23 07:50:00 PM,9.02,71.06,,,,
132,04/14/23 07:55:00 PM,9.03,71.06,,,,
133,04/14/23 08:00:00 PM,9.03,71.02,,,,
134,04/14/23 08:05:00 PM,9.03,71.02,,,,
135,04/14/23 08:10:00 PM,9.04,71.02,,,,
136,04/14/23 08:15:00 PM,9.04,70.99,,,,
137,04/14/23 08:20:00 PM,9.04,70.99,,,,
138,04/14/23 08:25:00 PM,9.04,70.95,,,,
139,04/14/23 08:30:00 PM,9.04,70.95,,,,
140,04/14/23 08:35:00 PM,9.04,70.92,,,,
141,04/14/23 08:40:00 PM,9.04,70.88,,,,
142,04/14/23 08:45:00 PM,9.04,70.84,,,,
143,04/14/23 08:50:00 PM,9.04,70.81,,,,
144,04/14/23 08:55:00 PM,9.06,70.81,,,,
145,04/14/23 09:00:00 PM,9.06,70.77,,,,
146,04/14/23 09:05:00 PM,9.06,70.74,,,,
147,04/14/23 09:10:00 PM,9.06,70.70,,,,
148,04/14/23 09:15:00 PM,9.08,70.66,,,,
149,04/14/23 09:20:00 PM,9.08,70.63,,,,
150,04/14/23 09:25:00 PM,9.08,70.59,,,,
151,04/14/23 09:30:00 PM,9.09,70.56,,,,
152,04/14/23 09:35:00 PM,9.09,70.52,,,,
153,04/14/23 09:40:00 PM,9.10,70.48,,,,
154,04/14/23 09:45:00 PM,9.09,70.45,,,,
155,04/14/23 09:50:00 PM,9.10,70.41,,,,
156,04/14/23 09:55:00 PM,9.11,70.34,,,,
157,04/14/23 10:00:00 PM,9.11,70.30,,,,
158,04/14/23 10:05:00 PM,9.12,70.27,,,,
159,04/14/23 10:10:00 PM,9.12,70.23,,,,
160,04/14/23 10:15:00 PM,9.12,70.16,,,,
161,04/14/23 10:20:00 PM,9.13,70.12,,,,
162,04/14/23 10:25:00 PM,9.14,70.09,,,,
163,04/14/23 10:30:00 PM,9.14,70.02,,,,
164,04/14/23 10:35:00 PM,9.15,69.98,,,,
165,04/14/23 10:40:00 PM,9.15,69.94,,,,
166,04/14/23 10:45:00 PM,9.16,69.87,,,,
167,04/14/23 10:50:00 PM,9.16,69.84,,,,
168,04/14/23 10:55:00 PM,9.16,69.76,,,,
169,04/14/23 11:00:00 PM,9.17,69.73,,,,
170,04/14/23 11:05:00 PM,9.18,69.66,,,,
171,04/14/23 11:10:00 PM,9.18,69.62,,,,
172,04/14/23 11:15:00 PM,9.18,69.58,,,,
173,04/14/23 11:20:00 PM,9.19,69.51,,,,
174,04/14/23 11:25:00 PM,9.19,69.48,,,,
175,04/14/23 11:30:00 PM,9.19,69.40,,,,
176,04/14/23 11:35:00 PM,9.20,69.37,,,,
177,04/14/23 11:40:00 PM,9.20,69.30,,,,
178,04/14/23 11:45:00 PM,9.21,69.26,,,,
179,04/14/23 11:50:00 PM,9.23,69.19,,,,
180,04/14/23 11:55:00 PM,9.24,69.15,,,,
181,04/15/23 12:00:00 AM,9.24,69.08,,,,
182,04/15/23 12:05:00 AM,9.24,69.04,,,,
183,04/15/23 12:10:00 AM,9.24,68.97,,,,
184,04/15/23 12:15:00 AM,9.25,68.94,,,,
185,04/15/23 12:20:00 AM,9.25,68.90,,,,
186,04/15/23 12:25:00 AM,9.26,68.83,,,,
187,04/15/23 12:30:00 AM,9.26,68.76,,,,
188,04/15/23 12:35:00 AM,9.27,68.72,,,,
189,04/15/23 12:40:00 AM,9.28,68.68,,,,
190,04/15/23 12:45:00 AM,9.29,68.61,,,,
191,04/15/23 12:50:00 AM,9.29,68.58,,,,
192,04/15/23 12:55:00 AM,9.29,68.50,,,,
193,04/15/23 01:00:00 AM,9.30,68.43,,,,
194,04/15/23 01:05:00 AM,9.31,68.40,,,,
195,04/15/23 01:10:00 AM,9.31,68.36,,,,
196,04/15/23 01:15:00 AM,9.32,68.29,,,,
197,04/15/23 01:20:00 AM,9.31,68.22,,,,
