"Plot Title: SC StA DO Meter"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21658049, SEN S/N: 21658049)","Temp, °F (LGR S/N: 21658049, SEN S/N: 21658049)","Bad Battery (LGR S/N: 21658049)","Coupler Detached (LGR S/N: 21658049)","Good Battery (LGR S/N: 21658049)","Coupler Attached (LGR S/N: 21658049)","Host Connected (LGR S/N: 21658049)","End Of File (LGR S/N: 21658049)"
1,04/20/23 11:28:54 AM,11.75,47.37,Logged,,,,,
2,04/20/23 11:29:08 AM,,,,Logged,,,,
3,04/20/23 12:28:54 PM,12.37,41.22,,,Logged,,,
4,04/20/23 01:28:54 PM,12.39,41.29,,,,,,
5,04/20/23 02:28:54 PM,12.36,41.32,,,,,,
6,04/20/23 03:28:54 PM,12.37,41.32,,,,,,
7,04/20/23 04:28:54 PM,12.37,41.25,,,,,,
8,04/20/23 05:28:54 PM,12.37,41.22,,,,,,
9,04/20/23 06:28:54 PM,12.35,41.25,,,,,,
10,04/20/23 07:28:54 PM,12.38,41.22,,,,,,
11,04/20/23 08:28:54 PM,12.42,41.18,,,,,,
12,04/20/23 09:28:54 PM,12.44,41.11,,,,,,
13,04/20/23 10:28:54 PM,12.47,41.00,,,,,,
14,04/20/23 11:28:54 PM,12.50,40.93,,,,,,
15,04/21/23 12:28:54 AM,12.50,40.89,,,,,,
16,04/21/23 01:28:54 AM,12.52,40.89,,,,,,
17,04/21/23 02:28:54 AM,12.53,40.86,,,,,,
18,04/21/23 03:28:54 AM,12.53,40.86,,,,,,
19,04/21/23 04:28:54 AM,12.53,40.82,,,,,,
20,04/21/23 05:28:54 AM,12.54,40.82,,,,,,
21,04/21/23 06:28:54 AM,12.55,40.82,,,,,,
22,04/21/23 07:28:54 AM,12.56,40.82,,,,,,
23,04/21/23 08:28:54 AM,12.59,40.86,,,,,,
24,04/21/23 08:49:22 AM,,,,,,Logged,,
25,04/21/23 08:50:26 AM,,,,,,,Logged,Logged
