"Plot Title: SC StA DO Meter"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 21658049, SEN S/N: 21658049)","Temp, °F (LGR S/N: 21658049, SEN S/N: 21658049)","Bad Battery (LGR S/N: 21658049)","Coupler Detached (LGR S/N: 21658049)","Good Battery (LGR S/N: 21658049)","Coupler Attached (LGR S/N: 21658049)","Host Connected (LGR S/N: 21658049)","Stopped (LGR S/N: 21658049)","End Of File (LGR S/N: 21658049)"
1,04/20/23 11:28:54 AM,11.75,47.37,Logged,,,,,,
2,04/20/23 11:29:08 AM,,,,Logged,,,,,
3,04/20/23 12:28:54 PM,12.37,41.22,,,Logged,,,,
4,04/20/23 01:28:54 PM,12.39,41.29,,,,,,,
5,04/20/23 02:28:54 PM,12.36,41.32,,,,,,,
6,04/20/23 03:28:54 PM,12.37,41.32,,,,,,,
7,04/20/23 04:28:54 PM,12.37,41.25,,,,,,,
8,04/20/23 05:28:54 PM,12.37,41.22,,,,,,,
9,04/20/23 06:28:54 PM,12.35,41.25,,,,,,,
10,04/20/23 07:28:54 PM,12.38,41.22,,,,,,,
11,04/20/23 08:28:54 PM,12.42,41.18,,,,,,,
12,04/20/23 09:28:54 PM,12.44,41.11,,,,,,,
13,04/20/23 10:28:54 PM,12.47,41.00,,,,,,,
14,04/20/23 11:28:54 PM,12.50,40.93,,,,,,,
15,04/21/23 12:28:54 AM,12.50,40.89,,,,,,,
16,04/21/23 01:28:54 AM,12.52,40.89,,,,,,,
17,04/21/23 02:28:54 AM,12.53,40.86,,,,,,,
18,04/21/23 03:28:54 AM,12.53,40.86,,,,,,,
19,04/21/23 04:28:54 AM,12.53,40.82,,,,,,,
20,04/21/23 05:28:54 AM,12.54,40.82,,,,,,,
21,04/21/23 06:28:54 AM,12.55,40.82,,,,,,,
22,04/21/23 07:28:54 AM,12.56,40.82,,,,,,,
23,04/21/23 08:28:54 AM,12.59,40.86,,,,,,,
24,04/21/23 08:49:22 AM,,,,,,Logged,,,
25,04/21/23 08:50:26 AM,,,,,,,Logged,,
26,04/21/23 08:53:48 AM,,,,Logged,,,,,
27,04/21/23 09:28:54 AM,12.59,41.04,,,,,,,
28,04/21/23 10:28:54 AM,12.63,41.25,,,,,,,
29,04/21/23 11:28:54 AM,12.63,41.58,,,,,,,
30,04/21/23 12:28:54 PM,12.63,41.90,,,,,,,
31,04/21/23 01:28:54 PM,12.59,42.19,,,,,,,
32,04/21/23 02:28:54 PM,12.58,42.40,,,,,,,
33,04/21/23 03:28:54 PM,12.54,42.58,,,,,,,
34,04/21/23 04:28:54 PM,12.51,42.80,,,,,,,
35,04/21/23 05:28:54 PM,12.47,42.94,,,,,,,
36,04/21/23 06:28:54 PM,12.42,42.94,,,,,,,
37,04/21/23 07:28:54 PM,12.39,42.87,,,,,,,
38,04/21/23 08:28:54 PM,12.34,42.80,,,,,,,
39,04/21/23 09:28:54 PM,12.31,42.69,,,,,,,
40,04/21/23 10:28:54 PM,12.29,42.66,,,,,,,
41,04/21/23 11:28:54 PM,12.28,42.58,,,,,,,
42,04/22/23 12:28:54 AM,12.28,42.55,,,,,,,
43,04/22/23 01:28:54 AM,12.27,42.48,,,,,,,
44,04/22/23 02:28:54 AM,12.27,42.40,,,,,,,
45,04/22/23 03:28:54 AM,12.28,42.33,,,,,,,
46,04/22/23 04:28:54 AM,12.27,42.26,,,,,,,
47,04/22/23 05:28:54 AM,12.26,42.19,,,,,,,
48,04/22/23 06:28:54 AM,12.26,42.12,,,,,,,
49,04/22/23 07:28:54 AM,12.27,42.08,,,,,,,
50,04/22/23 08:28:54 AM,12.27,42.08,,,,,,,
51,04/22/23 09:28:54 AM,12.28,42.19,,,,,,,
52,04/22/23 10:28:54 AM,12.27,42.33,,,,,,,
53,04/22/23 11:28:54 AM,12.27,42.55,,,,,,,
54,04/22/23 12:28:54 PM,12.26,42.76,,,,,,,
55,04/22/23 01:28:54 PM,12.25,42.98,,,,,,,
56,04/22/23 02:28:54 PM,12.23,43.12,,,,,,,
57,04/22/23 03:28:54 PM,12.22,43.20,,,,,,,
58,04/22/23 04:28:54 PM,12.19,43.16,,,,,,,
59,04/22/23 05:28:54 PM,12.16,43.16,,,,,,,
60,04/22/23 06:28:54 PM,12.12,43.16,,,,,,,
61,04/22/23 07:28:54 PM,12.11,43.12,,,,,,,
62,04/22/23 08:28:54 PM,12.11,43.09,,,,,,,
63,04/22/23 09:28:54 PM,12.12,43.02,,,,,,,
64,04/22/23 10:28:54 PM,12.14,42.98,,,,,,,
65,04/22/23 11:28:54 PM,12.15,42.94,,,,,,,
66,04/23/23 12:28:54 AM,12.19,42.87,,,,,,,
67,04/23/23 01:28:54 AM,12.22,42.76,,,,,,,
68,04/23/23 02:28:54 AM,12.24,42.66,,,,,,,
69,04/23/23 03:28:54 AM,12.26,42.51,,,,,,,
70,04/23/23 04:28:54 AM,12.27,42.40,,,,,,,
71,04/23/23 05:28:54 AM,12.30,42.26,,,,,,,
72,04/23/23 06:28:54 AM,12.31,42.12,,,,,,,
73,04/23/23 07:28:54 AM,12.31,42.04,,,,,,,
74,04/23/23 08:28:54 AM,12.33,41.97,,,,,,,
75,04/23/23 09:28:54 AM,12.33,42.01,,,,,,,
76,04/23/23 10:28:54 AM,12.34,42.12,,,,,,,
77,04/23/23 11:28:54 AM,12.34,42.26,,,,,,,
78,04/23/23 12:28:54 PM,12.35,42.44,,,,,,,
79,04/23/23 01:28:54 PM,12.35,42.69,,,,,,,
80,04/23/23 02:28:54 PM,12.31,42.87,,,,,,,
81,04/23/23 03:28:54 PM,12.31,42.80,,,,,,,
82,04/23/23 04:28:54 PM,12.29,42.73,,,,,,,
83,04/23/23 05:28:54 PM,12.26,42.69,,,,,,,
84,04/23/23 06:28:54 PM,12.24,42.69,,,,,,,
85,04/23/23 07:28:54 PM,12.21,42.66,,,,,,,
86,04/23/23 08:28:54 PM,12.22,42.55,,,,,,,
87,04/23/23 09:28:54 PM,12.22,42.48,,,,,,,
