"Plot Title: SC StA DO Meter"
"#","Date Time, GMT-08:00","DO conc, mg/L (LGR S/N: 21658049, SEN S/N: 21658049, LBL: DO)","Temp, °F (LGR S/N: 21658049, SEN S/N: 21658049, LBL: Temp)","Coupler Detached (LGR S/N: 21658049)","Coupler Attached (LGR S/N: 21658049)","Host Connected (LGR S/N: 21658049)","End Of File (LGR S/N: 21658049)"
1,03/06/25 09:56:49 AM,10.19,59.50,,,,
2,03/06/25 09:57:14 AM,,,Logged,,,
3,03/06/25 10:56:49 AM,12.61,41.68,,,,
4,03/06/25 11:56:49 AM,12.62,42.08,,,,
5,03/06/25 12:56:49 PM,12.60,42.58,,,,
6,03/06/25 01:56:49 PM,12.60,43.02,,,,
7,03/06/25 02:56:49 PM,12.58,43.27,,,,
8,03/06/25 03:56:49 PM,12.56,43.27,,,,
9,03/06/25 04:56:49 PM,12.55,42.98,,,,
10,03/06/25 05:56:49 PM,12.55,42.55,,,,
11,03/06/25 06:56:49 PM,12.54,42.08,,,,
12,03/06/25 07:56:49 PM,12.54,41.72,,,,
13,03/06/25 08:56:49 PM,12.55,41.43,,,,
14,03/06/25 09:56:49 PM,12.54,41.32,,,,
15,03/06/25 10:56:49 PM,12.53,41.32,,,,
16,03/06/25 11:56:49 PM,12.52,41.32,,,,
17,03/07/25 12:56:49 AM,12.50,41.36,,,,
18,03/07/25 01:56:49 AM,12.49,41.40,,,,
19,03/07/25 02:56:49 AM,12.50,41.40,,,,
20,03/07/25 03:56:49 AM,12.48,41.40,,,,
21,03/07/25 04:56:49 AM,12.48,41.40,,,,
22,03/07/25 05:56:49 AM,12.49,41.40,,,,
23,03/07/25 06:56:49 AM,12.48,41.36,,,,
24,03/07/25 07:56:49 AM,12.48,41.36,,,,
25,03/07/25 08:56:49 AM,12.47,41.43,,,,
26,03/07/25 09:56:49 AM,12.46,41.58,,,,
27,03/07/25 10:56:49 AM,12.47,41.83,,,,
28,03/07/25 11:56:49 AM,12.49,42.12,,,,
29,03/07/25 12:56:49 PM,12.48,42.40,,,,
30,03/07/25 01:56:49 PM,12.47,42.69,,,,
31,03/07/25 02:56:49 PM,12.46,42.94,,,,
32,03/07/25 03:56:49 PM,12.44,43.02,,,,
33,03/07/25 04:56:49 PM,12.40,42.94,,,,
34,03/07/25 05:56:49 PM,12.41,42.84,,,,
35,03/07/25 06:56:49 PM,12.38,42.69,,,,
36,03/07/25 07:56:49 PM,12.35,42.55,,,,
37,03/07/25 08:56:49 PM,12.33,42.44,,,,
38,03/07/25 09:56:49 PM,12.32,42.37,,,,
39,03/07/25 10:56:49 PM,12.29,42.33,,,,
40,03/07/25 11:56:49 PM,12.29,42.33,,,,
41,03/08/25 12:56:49 AM,12.29,42.33,,,,
42,03/08/25 01:56:49 AM,12.29,42.30,,,,
43,03/08/25 02:56:49 AM,12.30,42.30,,,,
44,03/08/25 03:56:49 AM,12.31,42.26,,,,
45,03/08/25 04:56:49 AM,12.34,42.22,,,,
46,03/08/25 05:56:49 AM,12.37,42.15,,,,
47,03/08/25 06:56:49 AM,12.45,42.08,,,,
48,03/08/25 07:56:49 AM,12.50,42.01,,,,
49,03/08/25 08:56:49 AM,12.54,42.04,,,,
50,03/08/25 09:56:49 AM,12.59,42.12,,,,
51,03/08/25 10:56:49 AM,12.65,42.22,,,,
52,03/08/25 11:56:49 AM,12.71,42.33,,,,
53,03/08/25 12:56:49 PM,12.77,42.37,,,,
54,03/08/25 01:56:49 PM,12.85,42.37,,,,
55,03/08/25 02:56:49 PM,12.91,42.40,,,,
56,03/08/25 03:56:49 PM,12.96,42.51,,,,
57,03/08/25 04:56:49 PM,12.99,42.69,,,,
58,03/08/25 05:56:49 PM,13.05,42.80,,,,
59,03/08/25 06:56:49 PM,13.14,42.91,,,,
60,03/08/25 07:56:49 PM,13.18,42.98,,,,
61,03/08/25 08:56:49 PM,13.28,43.05,,,,
62,03/08/25 09:56:49 PM,13.32,43.09,,,,
63,03/08/25 10:56:49 PM,13.29,43.12,,,,
64,03/08/25 11:56:49 PM,13.24,43.12,,,,
65,03/09/25 12:56:49 AM,13.20,43.12,,,,
66,03/09/25 01:56:49 AM,13.16,43.16,,,,
67,03/09/25 02:56:49 AM,13.11,43.12,,,,
68,03/09/25 03:56:49 AM,13.09,43.12,,,,
69,03/09/25 04:56:49 AM,13.07,43.12,,,,
70,03/09/25 05:56:49 AM,13.03,43.12,,,,
71,03/09/25 06:56:49 AM,13.02,43.12,,,,
72,03/09/25 07:56:49 AM,13.06,43.16,,,,
73,03/09/25 08:56:49 AM,13.09,43.16,,,,
74,03/09/25 09:56:49 AM,13.10,43.12,,,,
75,03/09/25 10:56:49 AM,13.08,43.12,,,,
76,03/09/25 11:56:49 AM,13.08,43.09,,,,
77,03/09/25 12:56:49 PM,13.05,43.02,,,,
78,03/09/25 01:56:49 PM,13.06,42.91,,,,
79,03/09/25 02:56:49 PM,13.05,42.84,,,,
80,03/09/25 03:56:49 PM,13.03,42.76,,,,
81,03/09/25 04:56:49 PM,12.97,42.69,,,,
82,03/09/25 05:56:49 PM,12.99,42.66,,,,
83,03/09/25 06:56:49 PM,12.97,42.58,,,,
84,03/09/25 07:56:49 PM,12.93,42.48,,,,
85,03/09/25 08:56:49 PM,12.91,42.40,,,,
86,03/09/25 09:56:49 PM,12.90,42.37,,,,
87,03/09/25 10:56:49 PM,12.87,42.30,,,,
88,03/09/25 11:56:49 PM,12.86,42.22,,,,
89,03/10/25 12:56:49 AM,12.87,42.12,,,,
90,03/10/25 01:56:49 AM,12.86,42.01,,,,
91,03/10/25 02:56:49 AM,12.86,41.94,,,,
92,03/10/25 03:56:49 AM,12.85,41.83,,,,
93,03/10/25 04:56:49 AM,12.86,41.76,,,,
