doy,statWeek,,,
50,02-3,,,
51,02-3,,,
52,02-3,,,
53,02-3,,,
54,02-4,,,
55,02-4,,,
56,02-4,,,
57,02-4,,,
58,02-4,,,
59,02-4,,,
60,02-4,,,
61,03-1,,,
62,03-1,,,
63,03-1,,,
64,03-1,,,
65,03-1,,,
66,03-1,,,
67,03-1,,,
68,03-2,,,
69,03-2,,,
70,03-2,,,
71,03-2,,,
72,03-2,,,
73,03-2,,,
74,03-2,,,
75,03-2,,,
76,03-2,,,
77,03-3,,,
78,03-3,,,
79,03-3,,,
80,03-3,,,
81,03-3,,,
82,03-3,,,
83,03-3,,,
84,03-4,,,
85,03-4,,,
86,03-4,,,
87,03-4,,,
88,03-4,,,
89,03-4,,,
90,03-4,,,
91,04-1,,,
92,04-1,,,
93,04-1,,,
94,04-1,,,
95,04-1,,,
96,04-1,,,
97,04-1,,,
98,04-1,,,
99,04-2,,,
100,04-2,,,
101,04-2,,,
102,04-2,,,
103,04-2,,,
104,04-2,,,
105,04-2,,,
106,04-3,,,
107,04-3,,,
108,04-3,,,
109,04-3,,,
110,04-3,,,
111,04-3,,,
112,04-3,,,
113,04-4,,,
114,04-4,,,
115,04-4,,,
116,04-4,,,
117,04-4,,,
118,04-4,,,
119,04-4,,,
120,04-4,,,
121,05-1,,,
122,05-1,,,
123,05-1,,,
124,05-1,,,
125,05-1,,,
126,05-2,,,
127,05-2,,,
128,05-2,,,
129,05-2,,,
130,05-2,,,
131,05-2,,,
132,05-2,,,
133,05-3,,,
134,05-3,,,
135,05-3,,,
136,05-3,,,
137,05-3,,,
138,05-3,,,
139,05-3,,,
140,05-4,,,
141,05-4,,,
142,05-4,,,
143,05-4,,,
144,05-4,,,
145,05-4,,,
146,05-4,,,
147,05-5,,,
148,05-5,,,
149,05-5,,,
150,05-5,,,
151,05-5,,,
152,06-1,,,
153,06-1,,,
154,06-1,,,
155,06-1,,,
156,06-1,,,
157,06-1,,,
158,06-1,,,
159,06-1,,,
160,06-2,,,
161,06-2,,,
162,06-2,,,
163,06-2,,,
164,06-2,,,
165,06-2,,,
166,06-2,,,
167,06-2,,,
168,06-3,,,
169,06-3,,,
170,06-3,,,
171,06-3,,,
172,06-3,,,
173,06-3,,,
174,06-3,,,
175,06-4,,,
176,06-4,,,
177,06-4,,,
178,06-4,,,
179,06-4,,,
180,06-4,,,
181,07-1,,,
182,07-1,,,
183,07-1,,,
184,07-1,,,
185,07-1,,,
186,07-1,,,
187,07-1,,,
188,07-1,,,
189,07-2,,,
190,07-2,,,
191,07-2,,,
192,07-2,,,
193,07-2,,,
194,07-2,,,
195,07-2,,,
196,07-2,,,
197,07-3,,,
198,07-3,,,
199,07-3,,,
200,07-3,,,
201,07-3,,,
202,07-3,,,
203,07-3,,,
204,07-3,,,
205,07-4,,,
206,07-4,,,
207,07-4,,,
208,07-4,,,
209,07-4,,,
210,07-4,,,
211,07-4,,,
212,07-4,,,
213,08-1,,,
214,08-1,,,
215,08-1,,,
216,08-1,,,
217,08-1,,,
218,08-1,,,
219,08-1,,,
220,08-2,,,
221,08-2,,,
222,08-2,,,
223,08-2,,,
224,08-2,,,
225,08-2,,,
226,08-2,,,
227,08-3,,,
228,08-3,,,
229,08-3,,,
230,08-3,,,
231,08-3,,,
232,08-3,,,
233,08-3,,,
234,08-4,,,
235,08-4,,,
236,08-4,,,
237,08-4,,,
238,08-4,,,
239,08-4,,,
240,08-4,,,
241,08-5,,,
242,08-5,,,
243,08-5,,,
244,09-1,,,
245,09-1,,,
246,09-1,,,
247,09-1,,,
248,09-1,,,
249,09-1,,,
250,09-1,,,
251,09-1,,,
252,09-2,,,
253,09-2,,,
254,09-2,,,
255,09-2,,,
256,09-2,,,
257,09-2,,,
258,09-2,,,
259,09-3,,,
260,09-3,,,
261,09-3,,,
262,09-3,,,
263,09-3,,,
264,09-3,,,
265,09-3,,,
266,09-3,,,
267,09-4,,,
268,09-4,,,
269,09-4,,,
270,09-4,,,
271,09-4,,,
272,09-4,,,
273,09-4,,,
274,10-1,,,
275,10-1,,,
276,10-1,,,
277,10-1,,,
278,10-1,,,
279,10-2,,,
280,10-2,,,
281,10-2,,,
282,10-2,,,
283,10-2,,,
284,10-2,,,
285,10-2,,,
286,10-3,,,
287,10-3,,,
288,10-3,,,
289,10-3,,,
290,10-3,,,
291,10-3,,,
292,10-3,,,
293,10-4,,,
294,10-4,,,
295,10-4,,,
296,10-4,,,
297,10-4,,,
298,10-4,,,
299,10-4,,,
300,10-5,,,
301,10-5,,,
302,10-5,,,
303,10-5,,,
