"year_collected","r_resolved_total_age","origin","n","avg_res","sd_res","min","max"
2023,3,"HO",3,14.5946753098916,7.88574397364645,9.20683146894996,23.6457437661221
2023,3,"NO",9,10.4475916616645,3.73366073174247,7.06370579665357,19.6491228070175
2023,4,"HO",5,19.541723838467,9.00331469510902,9.01428764591878,31.3032269944299
2023,4,"NO",15,21.3103212973775,18.4431068504771,8.66300895177592,79.0261933592505
2023,5,"HO",1,18.1256436663234,NA,18.1256436663234,18.1256436663234
2023,5,"NO",4,19.1582129134349,11.0578781482577,11.8046333185775,35.3185289832678
2024,3,"HO",3,28.0673046596337,5.96348704552363,24.2266926238373,34.9374038181591
2024,3,"NO",1,14.42286023347,NA,14.42286023347,14.42286023347
2024,4,"HO",4,11.701682553755,3.57638150705221,9.20683146894996,16.9340044216567
2024,4,"NO",18,11.9601035304586,6.94474582971383,5.35260270306437,31.4978345238765
2024,5,"HO",3,13.5778934162489,1.7763506727521,11.8749734933627,15.4195399837238
2024,5,"NO",11,26.0505272802939,14.6374913415086,12.9905277401894,52.622923861207
