"year","hatchery_origin","resolved_species","meanL","seL","mseL","meanH","seH","mseH","meanW","seW","mseW","meanK","seK","mseK","N"
2023,"Hatchery","Chinook",112.56,9.23,"112.56 (9.23)",24.68,2.1,"24.68 (2.1)",21.67,6.93,"21.67 (6.93)",1.1,0.04,"1.1 (0.04)",25
2023,"Natural","Chinook",112,NA,"112 (NA)",23,NA,"23 (NA)",15,NA,"15 (NA)",1.07,NA,"1.07 (NA)",1
2023,"Unknown","Chinook",96.54,2.14,"96.54 (2.14)",19.91,0.53,"19.91 (0.53)",10.19,1,"10.19 (1)",1.01,0.04,"1.01 (0.04)",59
2023,"Unknown","Chum",98.43,11.36,"98.43 (11.36)",17.71,2.34,"17.71 (2.34)",8.17,3.15,"8.17 (3.15)",0.68,0.06,"0.68 (0.06)",8
2023,"Natural","Coho",92,4.72,"92 (4.72)",19.6,0.68,"19.6 (0.68)",8.47,0.71,"8.47 (0.71)",1.12,0.12,"1.12 (0.12)",5
2024,"Hatchery","Chinook",129.51,2.91,"129.51 (2.91)",26.99,0.76,"26.99 (0.76)",24.14,1.92,"24.14 (1.92)",0.89,0.03,"0.89 (0.03)",152
2024,"Natural","Chinook",128.88,4.62,"128.88 (4.62)",26.61,1.25,"26.61 (1.25)",22.7,3.06,"22.7 (3.06)",0.89,0.03,"0.89 (0.03)",41
2024,"Unknown","Chinook",127.4,7.15,"127.4 (7.15)",26.74,1.89,"26.74 (1.89)",26.23,4.96,"26.23 (4.96)",0.88,0.03,"0.88 (0.03)",35
2024,"Unknown","Chum",133.21,3.3,"133.21 (3.3)",24.35,0.67,"24.35 (0.67)",16.64,1.13,"16.64 (1.13)",0.66,0.03,"0.66 (0.03)",86
2024,"Natural","Coho",131.87,5.78,"131.87 (5.78)",25.27,1.4,"25.27 (1.4)",17.85,2.88,"17.85 (2.88)",0.73,0.05,"0.73 (0.05)",15
2024,"Unknown","Pink",154.5,5.03,"154.5 (5.03)",26.33,1.02,"26.33 (1.02)",18.63,1.8,"18.63 (1.8)",0.49,0.02,"0.49 (0.02)",12
2024,"Unknown","Sockeye",83,NA,"83 (NA)",13,NA,"13 (NA)",2.9,NA,"2.9 (NA)",0.51,NA,"0.51 (NA)",1
2025,"Hatchery","Chinook",130.46,6.4,"130.46 (6.4)",27.59,1.46,"27.59 (1.46)",37.87,9.04,"37.87 (9.04)",0.98,0.03,"0.98 (0.03)",113
2025,"Natural","Chinook",157.52,16.69,"157.52 (16.69)",35.86,4.93,"35.86 (4.93)",77.63,32.52,"77.63 (32.52)",0.95,0.04,"0.95 (0.04)",21
2025,"Unknown","Chinook",125.36,4.41,"125.36 (4.41)",25.07,1.38,"25.07 (1.38)",17.2,2.29,"17.2 (2.29)",0.81,0.04,"0.81 (0.04)",14
2025,"Unknown","Chum",77.22,1.09,"77.22 (1.09)",13.27,0.23,"13.27 (0.23)",3.22,0.15,"3.22 (0.15)",0.67,0.01,"0.67 (0.01)",89
2025,"Natural","Coho",137.77,5.54,"137.77 (5.54)",27.86,1.37,"27.86 (1.37)",23.13,3.27,"23.13 (3.27)",0.82,0.04,"0.82 (0.04)",22
