"year","species_stage_simple","meanL","seL","CIL","mseL","mCIL","meanH","seH","CIH","mseH","mCIH","meanW","seW","CIW","mseW","mCIW","meanK","seK","CIK","mseK","mCIK","N"
2023,"Chum",39.1,0.21,0.42,"39.1 (0.21)","39.1 (0.42)",NA,NA,NA,"NaN (NA)","NaN (NA)",0.43,0.01,0.01,"0.43 (0.01)","0.43 (0.01)",0.73,0.01,0.02,"0.73 (0.01)","0.73 (0.02)",103
2023,"Coho Alevin",33.14,0.34,0.83,"33.14 (0.34)","33.14 (0.83)",NA,NA,NA,"NaN (NA)","NaN (NA)",0.47,0.06,0.15,"0.47 (0.06)","0.47 (0.15)",1.28,0.13,0.32,"1.28 (0.13)","1.28 (0.32)",7
2023,"Coho Fry",39.13,0.23,0.44,"39.13 (0.23)","39.13 (0.44)",NA,NA,NA,"NaN (NA)","NaN (NA)",0.59,0.02,0.03,"0.59 (0.02)","0.59 (0.03)",0.93,0.01,0.01,"0.93 (0.01)","0.93 (0.01)",554
2023,"Coho Smolt",83.04,1.52,3.01,"83.04 (1.52)","83.04 (3.01)",NA,NA,NA,"NaN (NA)","NaN (NA)",7.33,0.49,0.96,"7.33 (0.49)","7.33 (0.96)",1.1,0.02,0.03,"1.1 (0.02)","1.1 (0.03)",135
2023,"N Chinook",40.9,0.2,0.39,"40.9 (0.2)","40.9 (0.39)",5.5,0.07,0.13,"5.5 (0.07)","5.5 (0.13)",0.57,0.01,0.01,"0.57 (0.01)","0.57 (0.01)",0.83,0.01,0.02,"0.83 (0.01)","0.83 (0.02)",125
2024,"Chum",38.95,0.24,0.48,"38.95 (0.24)","38.95 (0.48)",NA,NA,NA,"NaN (NA)","NaN (NA)",0.4,0.01,0.01,"0.4 (0.01)","0.4 (0.01)",0.68,0.01,0.02,"0.68 (0.01)","0.68 (0.02)",83
2024,"Coho Fry",36.3,0.19,0.38,"36.3 (0.19)","36.3 (0.38)",NA,NA,NA,"NaN (NA)","NaN (NA)",0.46,0.03,0.05,"0.46 (0.03)","0.46 (0.05)",0.85,0,0.01,"0.85 (0)","0.85 (0.01)",863
2024,"Coho Smolt",93.37,1.29,2.55,"93.37 (1.29)","93.37 (2.55)",NA,NA,NA,"NaN (NA)","NaN (NA)",8.96,0.33,0.65,"8.96 (0.33)","8.96 (0.65)",1.04,0.01,0.02,"1.04 (0.01)","1.04 (0.02)",131
2024,"N Chinook",41.41,0.39,0.77,"41.41 (0.39)","41.41 (0.77)",5.32,0.09,0.18,"5.32 (0.09)","5.32 (0.18)",0.68,0.04,0.08,"0.68 (0.04)","0.68 (0.08)",0.83,0.01,0.02,"0.83 (0.01)","0.83 (0.02)",312
2024,"Y Chinook",64.79,1.03,2.08,"64.79 (1.03)","64.79 (2.08)",NA,NA,NA,"NaN (NA)","NaN (NA)",3.14,0.14,0.28,"3.14 (0.14)","3.14 (0.28)",1.16,0.06,0.12,"1.16 (0.06)","1.16 (0.12)",38
2025,"Chum",37.4,0.4,0.8,"37.4 (0.4)","37.4 (0.8)",NA,NA,NA,"NaN (NA)","NaN (NA)",0.38,0.01,0.02,"0.38 (0.01)","0.38 (0.02)",0.74,0.02,0.05,"0.74 (0.02)","0.74 (0.05)",55
2025,"Coho Fry",36.15,0.18,0.36,"36.15 (0.18)","36.15 (0.36)",NA,NA,NA,"NaN (NA)","NaN (NA)",0.46,0.01,0.02,"0.46 (0.01)","0.46 (0.02)",0.93,0.01,0.02,"0.93 (0.01)","0.93 (0.02)",555
2025,"Coho Smolt",95.12,1.78,3.55,"95.12 (1.78)","95.12 (3.55)",NA,NA,NA,"NaN (NA)","NaN (NA)",9.7,0.52,1.04,"9.7 (0.52)","9.7 (1.04)",1.06,0.01,0.03,"1.06 (0.01)","1.06 (0.03)",67
2025,"N Chinook",42.83,0.44,0.88,"42.83 (0.44)","42.83 (0.88)",6.92,0.13,0.27,"6.92 (0.13)","6.92 (0.27)",0.78,0.04,0.07,"0.78 (0.04)","0.78 (0.07)",0.89,0.01,0.02,"0.89 (0.01)","0.89 (0.02)",249
2025,"Y Chinook",61.96,0.3,0.59,"61.96 (0.3)","61.96 (0.59)",12.14,0.04,0.09,"12.14 (0.04)","12.14 (0.09)",2.58,0.04,0.07,"2.58 (0.04)","2.58 (0.07)",1.07,0.01,0.02,"1.07 (0.01)","1.07 (0.02)",250
