"year","infill_method","MAPE","MAE_w0","MAE_no0","MASE"
2024,"chum_fry_kal.structs",0.149345781878506,0.538149839986531,1.85393997623348,0.627841479984287
2024,"chum_fry_interp.stine",0.71659394667887,0.753740437525231,2.63559697760962,0.879363843779436
2024,"chum_fry_interp.linear",0.66984126984127,0.791071428571429,2.54107142857143,0.922916666666667
2024,"chum_fry_MA.exp2",0.981481481481482,1.14583333333333,2.89583333333333,1.33680555555556
2024,"chum_fry_MA.exp3",0.997354497354497,1.1577380952381,2.9077380952381,1.35069444444444
2024,"chum_fry_MA.linear2",1.01111111111111,1.1875,2.9375,1.38541666666667
2024,"chum_fry_MA.linear3",1.04188034188034,1.21057692307692,2.96057692307692,1.41233974358974
2024,"chum_fry_MA.simp2",1.05555555555556,1.25,3,1.45833333333333
2024,"chum_fry_MA.simp3",1.11111111111111,1.29166666666667,3.04166666666667,1.50694444444444
2024,"chum_fry_kal.arima",1.34090308732013,1.59712606077518,2.97980421755654,1.86331373757104
2025,"chum_fry_MA.simp2",0.416666666666667,1.24074074074074,1.35185185185185,4.96296296296296
2025,"chum_fry_MA.simp3",0.416666666666667,1.24074074074074,1.35185185185185,4.96296296296296
2025,"chum_fry_MA.linear2",0.45625,1.48531746031746,1.67050264550265,5.94126984126984
2025,"chum_fry_MA.linear3",0.45625,1.48531746031746,1.67050264550265,5.94126984126984
2025,"chum_fry_kal.structs",0.541666666666667,1.57407407407407,1.90740740740741,6.2962962962963
2025,"chum_fry_interp.linear",0.541666666666667,1.57407407407407,1.90740740740741,6.2962962962963
2025,"chum_fry_MA.exp2",0.483333333333333,1.68888888888889,1.93333333333333,6.75555555555556
2025,"chum_fry_MA.exp3",0.483333333333333,1.68888888888889,1.93333333333333,6.75555555555556
2025,"chum_fry_interp.stine",0.608097742713127,1.75256393940658,2.08589727273991,7.01025575762632
2025,"chum_fry_kal.arima",0.613942315639276,1.84257695750823,2.17591029084156,7.37030783003291
