"year","date_stop","cncount_Ucn","cocount_Uco","totalcount_U","markedCN_released_Mcn","markedCO_released_Mco","total_marks_released_M","cnrecap_Rcn-1","corecap_Rco-1","total_recaps_R_lag-1","cnrecap_Rcn0","corecap_Rco0","total_recaps_R_lag0","CN_markunmarked_Ccn","CO_markunmarked_Cco","total_markunmark_C","discharge","trap_efficiency_e","efficiency_type"
2024,2024-03-13,2,0,2,2,0,2,0,0,0,0,0,0,2,0,2,85.2,NA,"modelled"
2024,2024-03-14,2,1,3,0,0,0,0,0,0,0,0,0,2,1,3,61.1,NA,"modelled"
2024,2024-03-15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,52.8,NA,"modelled"
2024,2024-03-16,10.6166985221646,24.2109714576112,34.8276699797757,0,0,0,0,0,0,0,0,0,11,24,35,58.4,NA,"modelled"
2024,2024-03-17,15.6437896655536,53.2425496117029,68.8863392772565,0,0,0,0,0,0,0,0,0,16,53,69,60.7,NA,"modelled"
2024,2024-03-18,20.6708808089426,92.8751642275178,113.54604503646,0,0,0,0,0,0,0,0,0,21,93,114,53,NA,"modelled"
2024,2024-03-19,36,151,187,24,146,170,0,0,0,0,0,0,36,151,187,47.6,NA,"modelled"
2024,2024-03-20,14,14,28,0,0,0,0,0,0,0,0,0,14,14,28,41.3,NA,"modelled"
2024,2024-03-21,40,63,103,0,0,0,0,0,0,0,0,0,40,63,103,34.7,NA,"modelled"
2024,2024-03-22,26.1591781611358,40.0753585235518,66.2345366846876,0,0,0,0,0,0,0,0,0,26,40,66,33,NA,"modelled"
2024,2024-03-23,23.5656167866033,25.1300557531415,48.6956725397448,0,0,0,0,0,0,0,0,0,24,25,49,35.7,NA,"modelled"
2024,2024-03-24,20.9720554120709,15.1883570412722,36.1604124533431,0,0,0,0,0,0,0,0,0,21,15,36,39.2,NA,"modelled"
2024,2024-03-25,18.3784940375384,8.27078711291262,26.649281150451,0,0,0,0,0,0,0,0,0,18,8,27,31.8,NA,"modelled"
2024,2024-03-26,3,3,6,3,10,13,0,0,0,0,0,0,3,3,6,28.7,NA,"modelled"
2024,2024-03-27,32,318,350,32,319,351,1,1,2,0,0,0,32,318,350,32.4,0.0056980056980057,"observed"
2024,2024-03-28,14,342,356,0,0,0,0,0,0,1,1,2,15,343,358,39.6,NA,"modelled"
2024,2024-03-29,23.8481150733579,257.262848962541,281.110964035899,0,0,0,0,0,0,0,0,0,24,257,281,48,NA,"modelled"
2024,2024-03-30,27.1321971074443,223.748880548539,250.881077655983,0,0,0,0,0,0,0,0,0,27,224,251,41,NA,"modelled"
2024,2024-03-31,30.4162791415307,234.785183642259,265.20146278379,0,0,0,0,0,0,0,0,0,30,235,265,33.4,NA,"modelled"
2024,2024-04-01,33.7003611756171,292.569178396427,326.269539572044,0,0,0,0,0,0,0,0,0,34,293,326,28.5,NA,"modelled"
2024,2024-04-02,36.9844432097035,408.606140943768,445.590584153471,0,0,0,0,0,0,0,0,0,37,409,446,26.5,NA,"modelled"
2024,2024-04-03,35,606,641,35,492,527,0,10,10,0,0,0,35,606,641,30.9,0.0189753320683112,"observed"
