year,date_stop,cncount_Ucn,cocount_Uco,totalcount_U,markedCN_released_Mcn,markedCO_released_Mco,total_marks_released_M,cnrecap_Rcn.x,corecap_Rco.x,total_recaps_R_lag-1,cnrecap_Rcn.y,corecap_Rco.y,total_recaps_R_lag0,discharge,trap_efficiency_e,efficiency_type,discharge_smoothed,daily_abundance_est
2024,3/13/2024,2,0,2,2,0,2,0,0,0,0,0,0,85.2,0.0002,modelled,85.2,"10,000"
2024,3/14/2024,2,1,3,0,0,0,0,0,0,0,0,0,61.1,0.0012,modelled,61.1,"1,667"
2024,3/15/2024,1,0,1,0,0,0,0,0,0,0,0,0,52.8,0.0022,modelled,52.8,455
2024,3/16/2024,10.61669852,24.21097146,34.82766998,0,0,0,0,0,0,0,0,0,58.4,0.0015,modelled,58.4,"7,078"
2024,3/17/2024,15.64378967,53.24254961,68.88633928,0,0,0,0,0,0,0,0,0,60.7,0.0012,modelled,60.7,"13,036"
2024,3/18/2024,20.67088081,92.87516423,113.546045,0,0,0,0,0,0,0,0,0,53,0.0021,modelled,53,"9,843"
2024,3/19/2024,36,151,187,24,146,170,0,0,0,0,0,0,47.6,0.0032,modelled,47.6,"11,250"
2024,3/20/2024,14,14,28,0,0,0,0,0,0,0,0,0,41.3,0.005,modelled,41.3,"2,800"
2024,3/21/2024,40,63,103,0,0,0,0,0,0,0,0,0,34.7,0.008,modelled,34.7,"5,000"
2024,3/22/2024,26.15917816,40.07535852,66.23453668,0,0,0,0,0,0,0,0,0,33,0.0091,modelled,33,"2,875"
2024,3/23/2024,23.56561679,25.13005575,48.69567254,0,0,0,0,0,0,0,0,0,35.7,0.0075,modelled,35.7,"3,142"
2024,3/24/2024,20.97205541,15.18835704,36.16041245,0,0,0,0,0,0,0,0,0,39.2,0.0058,modelled,39.2,"3,616"
2024,3/25/2024,18.37849404,8.270787113,26.64928115,0,0,0,0,0,0,0,0,0,31.8,0.0099,modelled,31.8,"1,856"
2024,3/26/2024,3,3,6,3,10,13,0,0,0,0,0,0,28.7,0.0124,modelled,28.7,242
2024,3/27/2024,32,318,350,32,319,351,1,1,2,0,0,0,32.4,0.0057,observed,36,"5,614"
2024,3/28/2024,14,342,356,0,0,0,0,0,0,1,1,2,39.6,0.0073,modelled,36,"1,918"
2024,3/29/2024,23.84811507,257.262849,281.110964,0,0,0,0,0,0,0,0,0,48,0.0031,modelled,48,"7,693"
2024,3/30/2024,27.13219711,223.7488805,250.8810777,0,0,0,0,0,0,0,0,0,41,0.0051,modelled,41,"5,320"
2024,3/31/2024,30.41627914,234.7851836,265.2014628,0,0,0,0,0,0,0,0,0,33.4,0.0088,modelled,33.4,"3,456"
2024,4/1/2024,33.70036118,292.5691784,326.2695396,0,0,0,0,0,0,0,0,0,28.5,0.0126,modelled,28.5,"2,675"
2024,4/2/2024,36.98444321,408.6061409,445.5905842,0,0,0,0,0,0,0,0,0,26.5,0.0145,modelled,26.5,"2,551"
2024,4/3/2024,35,606,641,35,492,527,0,10,10,0,0,0,30.9,0.019,observed,28.6,"1,842"
2024,4/4/2024,52,973,1025,0,0,0,0,0,0,0,10,10,26.3,0.0125,modelled,28.6,"4,160"
2024,4/5/2024,68,1724,1792,0,0,0,0,0,0,0,0,0,22.9,0.0188,modelled,22.9,"3,617"
2024,4/6/2024,42.4455621,1065.667187,1108.112749,0,0,0,0,0,0,0,0,0,20.5,0.0224,modelled,20.5,"1,895"
2024,4/7/2024,34.40527704,619.5176137,653.9228907,0,0,0,0,0,0,0,0,0,20,0.0232,modelled,20,"1,483"
2024,4/8/2024,26.36499199,296.7191736,323.0841656,0,0,0,0,0,0,0,0,0,46.5,0.0034,modelled,46.5,"7,754"
2024,4/9/2024,16,33,49,16,34,50,0,0,0,0,0,0,96,0.0001,modelled,96,"160,000"
2024,4/10/2024,0,97,97,0,79,79,0,0,0,0,0,0,51.9,0.0023,modelled,51.9,0
2024,4/11/2024,24,823,847,0,0,0,0,0,0,0,0,0,42.1,0.0047,modelled,42.1,"5,106"
2024,4/12/2024,0,79,79,0,0,0,0,0,0,0,0,0,45.3,0.0037,modelled,45.3,0
2024,4/13/2024,5.873141322,50.67470598,56.5478473,0,0,0,0,0,0,0,0,0,36,0.0073,modelled,36,805
2024,4/14/2024,4.619901286,32.4391693,37.05907059,0,0,0,0,0,0,0,0,0,30.4,0.011,modelled,30.4,420
2024,4/15/2024,3.36666125,20.66254225,24.0292035,0,0,0,0,0,0,0,0,0,26.4,0.0146,modelled,26.4,231
2024,4/16/2024,0,13,13,0,15,15,0,0,0,0,0,0,23.1,0.0186,modelled,23.1,0
2024,4/17/2024,3,44,47,3,48,51,0,0,0,0,0,0,20.5,0.0224,modelled,20.5,134
2024,4/17/2024,3,44,47,3,48,51,1,0,1,0,0,0,20.5,0.0196,observed,16.6,153
2024,4/18/2024,2,16,18,0,0,0,0,0,0,0,0,0,18.3,0.0297,modelled,16.6,67
2024,4/19/2024,1,24,25,0,0,0,0,0,0,0,0,0,16.5,0.0297,modelled,16.6,34
2024,4/20/2024,1.337495961,19.73207985,21.06957581,0,0,0,0,0,0,0,0,0,15.1,0.0297,modelled,16.6,45
2024,4/21/2024,1.212480491,19.39298165,20.60546214,0,0,0,0,0,0,0,0,0,16.7,0.0297,modelled,16.6,41
2024,4/22/2024,1.087465021,22.91518812,24.00265314,0,0,0,0,0,0,0,0,0,15.5,0.0297,modelled,16.6,37
2024,4/23/2024,1,31,32,1,34,35,0,0,0,1,0,1,13.6,0.0297,modelled,16.6,34
2024,4/24/2024,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0.0399,modelled,12.5,0
2024,4/25/2024,2,137,139,0,0,0,0,0,0,0,0,0,14,0.0358,modelled,14,56
2024,4/26/2024,1,153,154,0,0,0,0,0,0,0,0,0,23.9,0.0175,modelled,23.9,57
2024,4/27/2024,0.946515776,132.7466506,133.6931664,0,0,0,0,0,0,0,0,0,30,0.0113,modelled,30,84
2024,4/28/2024,0.838935913,138.9242685,139.7632044,0,0,0,0,0,0,0,0,0,53.6,0.0021,modelled,53.6,399
2024,4/29/2024,0.731356051,172.762869,173.494225,0,0,0,0,0,0,0,0,0,49.7,0.0027,modelled,49.7,271
2024,4/30/2024,0,241,241,0,242,242,0,0,0,0,0,0,35.6,0.0075,modelled,35.6,0
2024,5/1/2024,2,213,215,2,209,211,0,0,0,0,0,0,28.2,0.0129,modelled,28.2,155
2024,5/2/2024,0,146,146,0,154,154,0,0,0,0,0,0,23.9,0.0175,modelled,23.9,0
2024,5/3/2024,0,59,59,0,62,62,0,0,0,0,0,0,20.7,0.0221,modelled,20.7,0
2024,5/4/2024,0.707526889,81.34382562,82.05135251,0,0,0,0,0,0,0,0,0,18.4,0.0261,modelled,18.4,27
2024,5/5/2024,0.952047874,119.8838865,120.8359344,0,0,0,0,0,0,0,0,0,17.2,0.0285,modelled,17.2,33
2024,5/6/2024,1.196568859,182.2938309,183.4903997,0,0,0,0,0,0,0,0,0,25.8,0.0153,modelled,25.8,78
2024,5/7/2024,3,281,284,1,199,200,0,2,2,0,0,0,23.4,0.01,observed,21,300
2024,5/8/2024,0,49,49,0,49,49,0,0,0,0,2,2,18.6,0.0216,modelled,21,0
2024,5/9/2024,0,30,30,0,31,31,0,0,0,0,0,0,16,0.031,modelled,16,0
2024,5/10/2024,0,10,10,0,0,0,0,0,0,0,0,0,14.2,0.0353,modelled,14.2,0
2024,5/11/2024,0.155405057,11.92282526,12.07823032,0,0,0,0,0,0,0,0,0,12.8,0.0391,modelled,12.8,4
2024,5/12/2024,0.133609757,16.21958465,16.35319441,0,0,0,0,0,0,0,0,0,11.5,0.0429,modelled,11.5,3
2024,5/13/2024,0.111814456,23.74579885,23.85761331,0,0,0,0,0,0,0,0,0,10.5,0.0462,modelled,10.5,2
2024,5/14/2024,0,36,36,0,34,34,0,0,0,0,0,0,9.63,0.0492,modelled,9.63,0
2024,5/15/2024,0,4,4,0,0,0,0,0,0,0,0,0,8.86,0.052,modelled,8.86,0
2024,5/16/2024,0,8,8,0,0,0,0,0,0,0,0,0,8.32,0.054,modelled,8.32,0
2024,5/17/2024,1,0,1,1,5,6,0,0,0,0,0,0,7.96,0.0555,modelled,7.96,18
2024,5/18/2024,0.510271194,0.101220584,0.611491778,0,0,0,0,0,0,0,0,0,7.33,0.058,modelled,7.33,9
2024,5/19/2024,0.487663647,0.222595032,0.710258679,0,0,0,0,0,0,0,0,0,6.82,0.0602,modelled,6.82,8
2024,5/20/2024,0.465056101,0.38829001,0.853346111,0,0,0,0,0,0,0,0,0,6.32,0.0624,modelled,6.32,7
2024,5/21/2024,0.442448554,0.631296774,1.073745328,0,0,0,0,0,0,0,0,0,6.95,0.0596,modelled,6.95,7
2024,5/22/2024,0,1,1,0,0,0,0,0,0,0,0,0,8.21,0.0545,modelled,8.21,0
2024,5/23/2024,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0.0596,modelled,6.95,0
2024,5/24/2024,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0.0625,modelled,6.3,0
2024,5/25/2024,2.964372088,16.51476861,19.4791407,0,0,0,0,0,0,0,0,0,6.21,0.0629,modelled,6.21,47
2024,5/26/2024,4.559824312,36.31776563,40.87758994,0,0,0,0,0,0,0,0,0,10.7,0.0455,modelled,10.7,100
2024,5/27/2024,6.155276536,63.35193321,69.50720975,0,0,0,0,0,0,0,0,0,19.6,0.0239,modelled,19.6,258
2024,5/28/2024,13,103,116,7,88,95,0,10,10,0,0,0,17.3,0.1053,observed,16.8,123
2024,5/29/2024,6,15,21,6,13,19,0,0,0,0,10,10,16.3,0.0293,modelled,16.8,205
